state,state_full,numcol,yieldpercol,totalprod,stocks,priceperlb,prodvalue,year,latitude,longitude,state_yr,temp_min,temp_max,temp_min C,temp_max C
ME,Maine,11000,21,231000,143000,0.75,173000,2000,44.323535,-69.765261,ME_2000,14.77,63.57,-9.574,17.54
MD,Maryland,6000,46,276000,52000,1.14,315000,2000,38.972945,-76.501157,MD_2000,29.94,73.04,-1.145,22.802
MA,Massachusetts,0,0,0,0,0,0,2000,0,0,MA_2000,0,0,0,0
MI,Michigan,72000,75,5400000,2970000,0.6,3240000,2000,42.7335,-84.5467,MI_2000,17.13,66.77,-8.259,19.315
MN,Minnesota,150000,90,13500000,3105000,0.57,7695000,2000,44.95,-93.094,MN_2000,3.25,69.07,-15.975,20.592
MS,Mississippi,17000,72,1224000,649000,0.69,845000,2000,32.32,-90.207,MS_2000,39.29,84.32,4.051,29.067
MO,Missouri,23000,75,1725000,362000,0.6,1035000,2000,38.572954,-92.189283,MO_2000,21.4,80.59,-5.89,26.996
MT,Montana,124000,88,10912000,4692000,0.59,6438000,2000,46.595805,-112.027031,MT_2000,15.59,68.67,-9.119,20.371
NE,Nebraska,50000,87,4350000,2610000,0.59,2567000,2000,40.809868,-96.675345,NE_2000,18.61,77.05,-7.44,25.026
NV,Nevada,10000,35,350000,95000,1.45,508000,2000,39.160949,-119.753877,NV_2000,33.58,72.79,0.878,22.663
NH,New Hampshire,0,0,0,0,0,0,2000,0,0,NH_2000,0,0,0,0
NJ,New Jersey,11000,35,385000,2.00E+05,0.61,235000,2000,40.221741,-74.756138,NJ_2000,28.47,71.13,-1.962,21.741
NM,New Mexico,15000,64,960000,739000,0.72,691000,2000,35.667231,-105.964575,NM_2000,34.96,75.29,1.645,24.048
NY,New York,58000,80,4640000,2274000,0.55,2552000,2000,42.659829,-73.781339,NY_2000,20.21,66.88,-6.549,19.38
NC,North Carolina,11000,49,539000,243000,1.43,771000,2000,35.771,-78.638,NC_2000,35.78,76.36,2.098,24.643
ND,North Dakota,3.00E+05,115,34500000,13800000,0.57,19665000,2000,48.813343,-100.779004,ND_2000,3.03,70.44,-16.094,21.355
OH,Ohio,18000,65,1170000,585000,0.79,924000,2000,39.962245,-83.000647,OH_2000,22.05,71.26,-5.53,21.813
